iter	RMSE
0	1481499.883
1	1431957.652
2	1393225.896
3	1350495.837
4	1310671.862
5	1268167.484
6	1231611.296
7	1195520.475
8	1162194.409
9	1127824.425
10	1100232.662
11	1073096.322
12	1043078.69
13	1021231.936
14	997664.49
15	977420.9934
16	956336.6821
17	930655.4781
18	911279.8183
19	896517.4626
20	874459.7169
21	854486.0753
22	835913.6326
23	820261.6428
24	804277.0465
25	789344.4008
26	773231.6259
27	760446.5914
28	746975.8719
29	732143.6425
30	717567.0328
31	704979.7809
32	693516.685
33	681366.7323
34	667629.3188
35	656668.2607
36	647382.3879
37	635651.3637
38	624858.7328
39	616563.0686
40	607482.4323
41	598152.0826
42	586784.1892
43	579741.576
44	571963.669
45	565170.2787
46	558691.69
47	551230.237
48	544879.853
49	537865.5664
50	532573.6607
51	527300.6253
52	521305.5138
53	514540.9396
54	508059.8192
55	503087.0502
56	497204.0892
57	491613.7345
58	486197.6795
59	482114.7495
60	476796.2441
61	473381.286
62	468739.2884
63	464464.6014
64	459960.5477
65	455185.4227
66	453031.2159
67	447600.2637
68	444933.9458
69	441570.9358
70	438278.6286
71	435341.3895
72	432011.8507
73	430138.5107
74	428620.8414
75	425736.1937
76	424646.1112
77	422961.8907
78	421675.3464
79	420023.0485
80	417200.8182
81	414546.7377
82	411781.6806
83	410040.7608
84	408175.4472
85	406945.0015
86	406653.9228
87	404622.3326
88	403131.4274
89	400567.9765
90	398965.6052
91	398179.7268
92	397131.3681
93	396252.2828
94	395248.0874
95	393798.8804
96	391530.6948
97	390148.2962
98	388795.0132
99	387462.4567
100	382998.2909
101	381227.0645
102	379479.5074
103	379028.9352
104	375916.3163
105	374122.5809
106	372378.747
107	369535.8219
108	368456.4879
109	367116.5108
110	365376.052
111	364387.6252
112	363908.1812
113	362523.3685
114	360904.8456
115	358702.0454
116	357662.9493
117	355594.1631
118	354602.2116
119	354017.0037
120	353383.6627
121	351199.823
122	348573.8859
123	347301.9789
124	346630.4225
125	345554.8962
126	343752.3838
127	342728.5055
128	342359.2517
129	341741.7644
130	340592.797
131	339427.2476
132	338881.4531
133	337885.0387
134	337265.0472
135	336906.877
136	336361.4695
137	336124.9808
138	335027.0189
139	333881.8904
140	332693.6973
141	330519.0392
142	329760.5216
143	328574.1951
144	327906.2214
145	326672.2834
146	325808.3181
147	324943.0725
148	323783.4936
149	322951.258
150	322112.0107
151	320829.2189
152	320130.1393
153	319557.1122
154	318638.8038
155	317773.4779
156	316663.3412
157	315562.696
158	314783.5236
159	313924.0808
160	313109.8735
161	312107.0241
162	310730.1939
163	309821.1821
164	308750.0925
165	307760.1422
166	306639.4007
167	305725.9772
168	304792.2862
169	303828.4597
170	302870.2179
171	301232.8978
172	300393.0643
173	299597.3893
174	299009.0283
175	298425.452
176	297736.1101
177	296971.2201
178	296046.44
179	295503.6306
180	294942.8543
181	293951.0196
182	293288.6758
183	292523.0623
184	291967.4101
185	290901.6461
186	289816.2593
187	288803.8801
188	287959.4645
189	287027.5101
190	285209.2312
191	284208.4649
192	283606.3334
193	282310.1945
194	281743.4996
195	280619.6449
196	278757.9154
197	278349.3554
198	277848.8371
199	277425.9885
200	277128.4497
201	276406.9985
202	274810.8077
203	273920.9386
204	273342.1726
205	272892.7841
206	272531.4577
207	272042.0135
208	271689.9133
209	270882.7407
210	270463.5766
211	270060.2006
212	268790.5244
213	267698.2249
214	267342.6474
215	267019.5627
216	266712.904
217	266416.3379
218	265526.0996
219	265325.8547
220	264133.814
221	263814.1632
222	263539.5293
223	263247.2765
224	262954.9192
225	262216.528
226	261685.0256
227	261443.2562
228	261176.7798
229	260398.7448
230	259349.9006
231	259068.5417
232	258805.7681
233	258190.9969
234	257356.4863
235	256417.1139
236	255641.0465
237	255255.1156
238	254537.5575
239	254178.8638
240	253515.3963
241	252314.551
242	252162.7325
243	251324.7001
244	249921.3888
245	249032.6275
246	248448.4698
247	247945.1443
248	247303.503
249	247165.5961
250	247026.3041
251	246847.1675
252	246676.1186
253	245664.9793
254	245286.2214
255	244846.8248
256	244463.7833
257	244345.8417
258	244189.3233
259	243283.8105
260	242382.9546
261	241769.088
262	241068.804
263	240497.2552
264	239746.6587
265	238991.794
266	238779.8733
267	237954.1258
268	237424.8939
269	237224.5119
270	236216.5001
271	235115.0596
272	234930.8224
273	234301.6011
274	233761.1149
275	233252.7424
276	233070.4188
277	232334.1775
278	231953.2456
279	231453.1358
280	231283.4039
281	230799.7112
282	230683.3681
283	230221.4914
284	230006.0171
285	229747.4177
286	229284.2903
287	229099.0627
288	228727.4753
289	228550.1864
290	227887.3002
291	227718.7679
292	227107.0664
293	226946.7523
294	226793.2786
295	226550.6664
296	225510.7029
297	225066.524
298	224161.4239
299	223823.9668
300	222726.3176
301	222325.6304
302	221237.2721
303	220906.4136
304	220023.4489
305	219195.5507
306	218592.2136
307	218086.8122
308	217618.9303
309	217492.2815
310	217146.5385
311	216676.3506
312	216555.2353
313	216462.888
314	216374.1481
315	215873.7181
316	215070.9168
317	214432.249
318	213867.5509
319	213215.7589
320	213000.0005
321	212533.2788
322	211681.3456
323	211481.442
324	211208.9085
325	210548.4591
326	210210.7447
327	209823.6311
328	209385.1487
329	209302.0823
330	209047.9752
331	208592.9033
332	208167.2314
333	207357.245
334	207032.5356
335	206774.9349
336	206399.632
337	205803.8414
338	205535.5922
339	205093.2337
340	204754.5444
341	204134.3636
342	203524.2091
343	202614.0493
344	202093.8738
345	201395.9742
346	200870.5462
347	200334.5911
348	199930.5408
349	199598.0401
350	199073.943
351	198623.7712
352	198403.6508
353	198169.3039
354	197823.6651
355	197527.7738
356	196982.9767
357	196465.1973
358	196109.6721
359	195915.3793
360	195532.8038
361	194988.7707
362	194760.7726
363	194403.9481
364	193872.7701
365	193460.7475
366	193144.8241
367	192976.8052
368	192369.82
369	192197.1906
370	191575.8097
371	191247.6005
372	191047.3769
373	190558.2939
374	190402.9089
375	189918.2275
376	189516.1306
377	189206.5235
378	188933.7765
379	188789.0828
380	188581.1459
381	188381.6408
382	188276.8543
383	188027.5589
384	187824.5024
385	187250.1948
386	187060.92
387	186878.0877
388	186645.2415
389	186396.4524
390	186222.4947
391	185995.2369
392	185310.6317
393	185049.3994
394	184765.6048
395	184586.4223
396	184073.4362
397	183448.8549
398	183188.3913
399	183024.1241
400	182870.6884
401	182397.954
402	182076.7516
403	181685.0658
404	181374.7287
405	181202.102
406	180819.8405
407	180546.3095
408	180376.2723
409	180019.8305
410	179812.1612
411	179558.3718
412	179404.5614
413	179294.5266
414	179156.8415
415	179051.892
416	178781.3216
417	178470.7587
418	178218.8925
419	178117.1482
420	177919.2346
421	177684.5246
422	177574.8181
423	177330.4429
424	177059.296
425	176909.1671
426	176814.3716
427	176463.0166
428	176372.2422
429	176144.5999
430	175976.7007
431	175645.1788
432	175546.2559
433	175347.1644
434	175075.0903
435	174789.1837
436	174607.1314
437	174348.0333
438	174123.8523
439	173625.6459
440	173539.9431
441	173457.5675
442	173042.1945
443	172706.0246
444	172488.7711
445	172195.4408
446	171974.2701
447	171737.9509
448	171515.1187
449	171333.7134
450	171221.9753
451	171015.3339
452	170603.8854
453	170476.5134
454	170325.985
455	169833.864
456	169743.0021
457	169337.8616
458	169261.6317
459	169167.5223
460	168886.1174
461	168559.6595
462	168428.9537
463	168313.381
464	168234.3184
465	168038.3668
466	167878.3316
467	167445.2708
468	167264.6995
469	167180.5655
470	166850.4109
471	166493.6111
472	166428.9456
473	166297.2349
474	166199.895
475	166068.5074
476	165929.3696
477	165782.6896
478	165648.7206
479	165397.3438
480	165273.1942
481	165139.0347
482	165011.9527
483	164880.2143
484	164764.7344
485	164711.5909
486	164535.4646
487	164414.6647
488	164277.3861
489	164219.9611
490	164092.1556
491	163896.1716
492	163774.7365
493	163691.8686
494	163366.3297
495	163307.7285
496	163140.1046
497	163077.6304
498	162894.1473
499	162813.0002
500	162433.7588
501	162377.9918
502	162286.9764
503	162230.8661
504	162072.6304
505	162025.4623
506	161945.8857
507	161914.521
508	161857.5504
509	161581.5814
510	161524.4183
511	161230.6648
512	161160.3243
513	161046.8986
514	160706.9025
515	160582.4527
516	160285.9999
517	160228.5957
518	159919.1431
519	159749.6654
520	159612.3745
521	159581.5332
522	159552.0669
523	159435.0486
524	159383.9248
525	159182.0706
526	158849.4429
527	158803.3721
528	158677.6902
529	158600.9715
530	158525.3199
531	158442.2556
532	158324.6304
533	158194.8535
534	157915.6719
535	157870.9206
536	157825.2965
537	157795.2609
538	157542.1935
539	157322.6179
540	157249.7621
541	156982.3986
542	156940.8314
543	156850.4529
544	156815.7163
545	156485.8944
546	156410.5218
547	156259.6641
548	156040.9508
549	156003.1183
550	155883.1179
551	155652.5803
552	155536.4083
553	155424.9822
554	155126.9409
555	155054.4207
556	154982.6038
557	154946.5562
558	154921.9133
559	154667.2323
560	154411.7416
561	154371.4836
562	154254.0258
563	154146.1555
564	154111.8192
565	154025.749
566	153984.5926
567	153785.181
568	153568.3672
569	153521.9794
570	153325.5502
571	153278.9811
572	153046.0185
573	152942.377
574	152891.6297
575	152769.8083
576	152610.4844
577	152485.0578
578	152393.8341
579	152240.648
580	152061.9309
