iter	Passed	Remaining
0	2	2311
1	4	2332
2	7	2329
3	9	2333
4	11	2344
5	14	2346
6	16	2343
7	18	2346
8	21	2358
9	23	2352
10	26	2370
11	28	2367
12	31	2362
13	33	2368
14	36	2413
15	42	2596
16	46	2679
17	49	2725
18	52	2712
19	54	2685
20	57	2662
21	59	2641
22	61	2629
23	64	2613
24	66	2597
25	69	2597
26	71	2589
27	74	2578
28	78	2618
29	80	2602
30	82	2585
31	85	2571
32	87	2555
33	89	2539
34	91	2524
35	93	2507
36	95	2492
37	97	2480
38	100	2466
39	102	2452
40	104	2437
41	106	2426
42	108	2417
43	110	2405
44	113	2398
45	115	2388
46	117	2386
47	120	2384
48	122	2373
49	124	2365
50	126	2356
51	128	2346
52	130	2335
53	132	2327
54	135	2320
55	137	2312
56	139	2303
57	141	2296
58	143	2289
59	145	2281
60	147	2274
61	149	2267
62	152	2261
63	154	2253
64	156	2245
65	158	2238
66	160	2234
67	162	2229
68	164	2222
69	166	2216
70	169	2211
71	171	2206
72	173	2201
73	175	2195
74	177	2190
75	179	2185
76	181	2179
77	184	2174
78	185	2163
79	187	2158
80	189	2153
81	192	2150
82	194	2147
83	196	2143
84	198	2138
85	200	2132
86	201	2119
87	204	2114
88	206	2111
89	208	2107
90	210	2102
91	212	2098
92	214	2094
93	216	2088
94	218	2083
95	220	2080
96	223	2077
97	225	2074
98	227	2069
99	229	2065
100	231	2063
101	234	2060
102	236	2057
103	238	2052
104	240	2049
105	242	2047
106	244	2043
107	246	2039
108	249	2036
109	251	2032
110	253	2029
111	255	2025
112	257	2020
113	259	2016
114	261	2014
115	263	2011
116	265	2007
117	268	2004
118	270	2001
119	272	1997
120	274	1992
121	276	1989
122	278	1986
123	280	1984
124	282	1980
125	287	1993
126	291	2004
127	301	2051
128	304	2058
129	313	2099
130	320	2125
131	329	2166
132	331	2161
133	334	2158
134	336	2154
135	338	2151
136	340	2147
137	344	2150
138	347	2155
139	351	2156
140	353	2154
141	356	2151
142	358	2147
143	360	2143
144	363	2141
145	365	2137
146	367	2134
147	370	2131
148	372	2128
149	375	2126
150	377	2123
151	380	2121
152	382	2118
153	384	2114
154	387	2112
155	389	2109
156	392	2106
157	394	2103
158	397	2100
159	399	2098
160	402	2095
161	404	2091
162	406	2088
163	409	2086
164	411	2083
165	414	2081
166	416	2078
167	419	2075
168	421	2072
169	423	2069
170	426	2066
171	428	2063
172	430	2059
173	433	2056
174	435	2053
175	438	2051
176	440	2048
177	443	2045
178	445	2043
179	448	2042
180	450	2040
181	453	2037
182	455	2033
183	458	2031
184	460	2028
185	462	2025
186	465	2022
187	467	2018
188	469	2015
189	471	2012
190	474	2009
191	476	2006
192	479	2003
193	481	2001
194	484	1998
195	487	1999
196	489	1997
197	492	1994
198	495	1996
199	501	2007
200	507	2017
201	512	2025
202	519	2038
203	525	2050
204	531	2062
205	538	2074
206	541	2073
207	543	2069
208	545	2065
209	548	2062
210	550	2058
211	552	2055
212	555	2052
213	557	2049
214	560	2045
215	562	2042
216	565	2039
217	567	2036
218	570	2033
219	572	2029
220	574	2026
221	577	2023
222	579	2020
223	582	2016
224	584	2013
225	587	2010
226	589	2007
227	591	2003
228	594	2000
229	596	1997
230	598	1993
231	601	1989
